# [0]           [1]            [2]            [3]            
# t             max-min        max(By^2)      pm             
0.000000e+00  9.972932e-07  0.000000e+00  1.000000e-02
9.925924e-02  1.361591e-02  0.000000e+00  1.000000e-02
1.983014e-01  1.275870e-02  0.000000e+00  1.000000e-02
2.997590e-01  1.212001e-02  0.000000e+00  1.000000e-02
3.987750e-01  1.166028e-02  0.000000e+00  1.000000e-02
4.978179e-01  1.129968e-02  0.000000e+00  1.000000e-02
5.993593e-01  1.099107e-02  0.000000e+00  1.000000e-02
6.984423e-01  1.073889e-02  0.000000e+00  1.000000e-02
7.975408e-01  1.052448e-02  0.000000e+00  1.000000e-02
8.991307e-01  1.032150e-02  0.000000e+00  1.000000e-02
9.982589e-01  8.910308e-03  0.000000e+00  1.000000e-02
1.099961e+00  5.925086e-03  0.000000e+00  1.000000e-02
1.199211e+00  4.817696e-03  0.000000e+00  1.000000e-02
1.298443e+00  4.388341e-03  0.000000e+00  1.000000e-02
1.397670e+00  5.023386e-03  0.000000e+00  1.000000e-02
1.499377e+00  5.428744e-03  0.000000e+00  1.000000e-02
1.598604e+00  5.689567e-03  0.000000e+00  1.000000e-02
1.697836e+00  5.878123e-03  0.000000e+00  1.000000e-02
1.799582e+00  6.039364e-03  0.000000e+00  1.000000e-02
1.898935e+00  6.232378e-03  0.000000e+00  1.000000e-02
1.998370e+00  4.876361e-03  0.000000e+00  1.000000e-02
2.097855e+00  2.621721e-03  0.000000e+00  1.000000e-02
2.199862e+00  4.543546e-03  0.000000e+00  1.000000e-02
2.299397e+00  6.092971e-03  0.000000e+00  1.000000e-02
2.398756e+00  6.835005e-03  0.000000e+00  1.000000e-02
2.497952e+00  7.282594e-03  0.000000e+00  1.000000e-02
2.599555e+00  7.597827e-03  0.000000e+00  1.000000e-02
2.698662e+00  7.825335e-03  0.000000e+00  1.000000e-02
2.797766e+00  8.018308e-03  0.000000e+00  1.000000e-02
2.899348e+00  8.033014e-03  0.000000e+00  1.000000e-02
2.998467e+00  6.519632e-03  0.000000e+00  1.000000e-02
3.097649e+00  4.756317e-03  0.000000e+00  1.000000e-02
3.199339e+00  3.808976e-03  0.000000e+00  1.000000e-02
3.298529e+00  3.198511e-03  0.000000e+00  1.000000e-02
3.397707e+00  3.881775e-03  0.000000e+00  1.000000e-02
3.499359e+00  4.444398e-03  0.000000e+00  1.000000e-02
3.598538e+00  4.853137e-03  0.000000e+00  1.000000e-02
3.697751e+00  5.193319e-03  0.000000e+00  1.000000e-02
3.799508e+00  5.540125e-03  0.000000e+00  1.000000e-02
