# [0]           [1]            [2]            [3]            
# t             max-min        max(By^2)      pm             
0.000000e+00  9.972932e-07  0.000000e+00  1.000000e-02
9.939834e-02  1.184526e-07  0.000000e+00  1.000000e-02
1.991992e-01  7.728664e-08  0.000000e+00  1.000000e-02
2.990001e-01  5.281427e-08  0.000000e+00  1.000000e-02
3.988010e-01  5.309930e-08  0.000000e+00  1.000000e-02
4.986019e-01  5.616392e-08  0.000000e+00  1.000000e-02
5.984028e-01  6.086776e-08  0.000000e+00  1.000000e-02
6.982037e-01  7.017206e-08  0.000000e+00  1.000000e-02
7.980046e-01  8.190172e-08  0.000000e+00  1.000000e-02
8.978055e-01  1.005832e-07  0.000000e+00  1.000000e-02
9.976064e-01  1.214526e-07  0.000000e+00  1.000000e-02
1.099902e+00  1.462685e-07  0.000000e+00  1.000000e-02
1.199703e+00  1.796758e-07  0.000000e+00  1.000000e-02
1.299504e+00  2.180119e-07  0.000000e+00  1.000000e-02
1.399305e+00  2.649442e-07  0.000000e+00  1.000000e-02
1.499106e+00  3.235547e-07  0.000000e+00  1.000000e-02
1.598907e+00  3.959986e-07  0.000000e+00  1.000000e-02
1.698708e+00  4.858372e-07  0.000000e+00  1.000000e-02
1.798509e+00  5.942455e-07  0.000000e+00  1.000000e-02
1.898309e+00  7.303217e-07  0.000000e+00  1.000000e-02
1.998110e+00  8.964511e-07  0.000000e+00  1.000000e-02
2.097911e+00  1.102995e-06  0.000000e+00  1.000000e-02
2.197712e+00  1.359116e-06  0.000000e+00  1.000000e-02
2.297513e+00  1.671468e-06  0.000000e+00  1.000000e-02
2.399809e+00  2.060516e-06  0.000000e+00  1.000000e-02
2.499610e+00  2.518274e-06  0.000000e+00  1.000000e-02
2.599411e+00  3.060003e-06  0.000000e+00  1.000000e-02
2.699211e+00  3.701328e-06  0.000000e+00  1.000000e-02
2.799012e+00  4.457073e-06  0.000000e+00  1.000000e-02
2.898813e+00  5.344036e-06  0.000000e+00  1.000000e-02
2.998614e+00  6.382781e-06  0.000000e+00  1.000000e-02
3.098415e+00  7.594733e-06  0.000000e+00  1.000000e-02
3.198216e+00  9.010860e-06  0.000000e+00  1.000000e-02
3.298016e+00  1.066418e-05  0.000000e+00  1.000000e-02
3.397817e+00  1.259028e-05  0.000000e+00  1.000000e-02
3.497618e+00  1.483321e-05  0.000000e+00  1.000000e-02
3.599913e+00  1.751329e-05  0.000000e+00  1.000000e-02
3.699714e+00  2.055820e-05  0.000000e+00  1.000000e-02
3.799515e+00  2.409866e-05  0.000000e+00  1.000000e-02
3.899315e+00  2.821516e-05  0.000000e+00  1.000000e-02
3.999116e+00  3.300110e-05  0.000000e+00  1.000000e-02
4.098916e+00  3.857742e-05  0.000000e+00  1.000000e-02
4.198717e+00  4.506522e-05  0.000000e+00  1.000000e-02
4.298517e+00  5.261432e-05  0.000000e+00  1.000000e-02
4.398317e+00  6.140021e-05  0.000000e+00  1.000000e-02
4.498117e+00  7.162653e-05  0.000000e+00  1.000000e-02
4.597917e+00  8.353128e-05  0.000000e+00  1.000000e-02
4.697716e+00  9.739304e-05  0.000000e+00  1.000000e-02
4.797515e+00  1.135363e-04  0.000000e+00  1.000000e-02
4.899809e+00  1.328466e-04  0.000000e+00  1.000000e-02
4.999608e+00  1.548335e-04  0.000000e+00  1.000000e-02
5.099406e+00  1.804496e-04  0.000000e+00  1.000000e-02
5.199204e+00  2.102966e-04  0.000000e+00  1.000000e-02
5.299001e+00  2.450760e-04  0.000000e+00  1.000000e-02
5.398798e+00  2.856045e-04  0.000000e+00  1.000000e-02
5.498593e+00  3.328325e-04  0.000000e+00  1.000000e-02
5.598388e+00  3.878668e-04  0.000000e+00  1.000000e-02
5.698181e+00  4.519954e-04  0.000000e+00  1.000000e-02
5.797974e+00  5.267163e-04  0.000000e+00  1.000000e-02
5.897764e+00  6.137702e-04  0.000000e+00  1.000000e-02
5.997553e+00  7.151782e-04  0.000000e+00  1.000000e-02
6.099833e+00  8.364734e-04  0.000000e+00  1.000000e-02
6.199617e+00  9.745181e-04  0.000000e+00  1.000000e-02
6.299397e+00  1.135207e-03  0.000000e+00  1.000000e-02
6.399173e+00  1.322186e-03  0.000000e+00  1.000000e-02
6.498945e+00  1.539661e-03  0.000000e+00  1.000000e-02
6.598711e+00  1.792472e-03  0.000000e+00  1.000000e-02
6.698471e+00  2.086173e-03  0.000000e+00  1.000000e-02
6.798223e+00  2.427120e-03  0.000000e+00  1.000000e-02
6.897966e+00  2.822574e-03  0.000000e+00  1.000000e-02
6.997697e+00  3.280784e-03  0.000000e+00  1.000000e-02
7.099908e+00  3.825345e-03  0.000000e+00  1.000000e-02
