# [0]           [1]            [2]            [3]            
# t             max-min        max(By^2)      pm             
0.000000e+00  9.972932e-07  0.000000e+00  1.000000e-02
9.939456e-02  5.378850e-04  1.938963e-14  1.000000e-02
1.991615e-01  5.194602e-04  1.653345e-14  1.000000e-02
2.989285e-01  5.058190e-04  1.210334e-14  1.000001e-02
3.986963e-01  4.941872e-04  1.377100e-14  1.000001e-02
4.984647e-01  4.848435e-04  1.527843e-14  1.000001e-02
5.982335e-01  4.810272e-04  1.534665e-14  1.000001e-02
6.980027e-01  4.759918e-04  1.833193e-14  1.000002e-02
7.977722e-01  4.709020e-04  1.738942e-14  1.000002e-02
8.975419e-01  4.676113e-04  1.682755e-14  1.000003e-02
9.998061e-01  4.798105e-04  2.947898e-14  1.000003e-02
1.099579e+00  3.878565e-04  4.688994e-14  1.000003e-02
1.199348e+00  3.552425e-04  7.643242e-14  1.000004e-02
1.299117e+00  3.229819e-04  1.233531e-13  1.000004e-02
1.398892e+00  2.932536e-04  1.696564e-13  1.000005e-02
1.498666e+00  2.666890e-04  2.340576e-13  1.000005e-02
1.598440e+00  2.467796e-04  2.962459e-13  1.000005e-02
1.698214e+00  2.349864e-04  3.620281e-13  1.000006e-02
1.797987e+00  2.400018e-04  4.494614e-13  1.000006e-02
1.897758e+00  2.500090e-04  6.969929e-13  1.000007e-02
1.997514e+00  2.773473e-04  1.081079e-12  1.000006e-02
2.099751e+00  2.487978e-04  1.647347e-12  1.000006e-02
2.199483e+00  2.798539e-04  2.408218e-12  1.000007e-02
2.299212e+00  3.112569e-04  3.418287e-12  1.000007e-02
2.398937e+00  3.408393e-04  4.845497e-12  1.000008e-02
2.498658e+00  3.671581e-04  7.216890e-12  1.000008e-02
2.598375e+00  3.901429e-04  1.050124e-11  1.000009e-02
2.698087e+00  4.021081e-04  1.500657e-11  1.000009e-02
2.797796e+00  4.123980e-04  2.048020e-11  1.000009e-02
2.899996e+00  4.236110e-04  2.963405e-11  1.000010e-02
2.999708e+00  4.440398e-04  4.134783e-11  1.000010e-02
3.099428e+00  3.797306e-04  5.689166e-11  1.000011e-02
3.199156e+00  3.377366e-04  8.015639e-11  1.000011e-02
3.298892e+00  2.975449e-04  1.084632e-10  1.000011e-02
3.398635e+00  2.629023e-04  1.575149e-10  1.000012e-02
3.498376e+00  2.328427e-04  2.186286e-10  1.000012e-02
3.598113e+00  2.391089e-04  3.101190e-10  1.000012e-02
3.697847e+00  2.566739e-04  4.420429e-10  1.000013e-02
3.797576e+00  2.756090e-04  6.191461e-10  1.000013e-02
3.899794e+00  3.055325e-04  8.543349e-10  1.000013e-02
3.999500e+00  3.450166e-04  1.202082e-09  1.000013e-02
4.099200e+00  2.699205e-04  1.715695e-09  1.000013e-02
4.198892e+00  2.380369e-04  2.460241e-09  1.000013e-02
4.298581e+00  2.667583e-04  3.252642e-09  1.000014e-02
4.398267e+00  3.003848e-04  4.082290e-09  1.000014e-02
4.497950e+00  3.301242e-04  5.180093e-09  1.000014e-02
4.597629e+00  3.569029e-04  6.688515e-09  1.000015e-02
4.699797e+00  3.732900e-04  8.805912e-09  1.000015e-02
4.799468e+00  3.881445e-04  1.216887e-08  1.000016e-02
4.899135e+00  4.038823e-04  1.525017e-08  1.000016e-02
4.998798e+00  4.330892e-04  1.840624e-08  1.000016e-02
5.098456e+00  3.822841e-04  2.347261e-08  1.000017e-02
5.198109e+00  4.127531e-04  2.951721e-08  1.000017e-02
5.297759e+00  4.542090e-04  3.705865e-08  1.000018e-02
5.399899e+00  5.091959e-04  4.730519e-08  1.000018e-02
5.499549e+00  5.740223e-04  5.905697e-08  1.000018e-02
5.599198e+00  6.531459e-04  6.854294e-08  1.000019e-02
5.698848e+00  7.512352e-04  9.263436e-08  1.000019e-02
5.798498e+00  8.627011e-04  1.234092e-07  1.000020e-02
5.898145e+00  1.000079e-03  1.621753e-07  1.000021e-02
