# [0]           [1]            [2]            [3]            
# t             max-min        max(By^2)      pm             
0.000000e+00  9.972932e-07  0.000000e+00  1.000000e-02
9.939833e-02  2.078305e-07  2.743279e-14  1.000000e-02
1.991992e-01  1.764624e-07  3.045724e-14  1.000000e-02
2.990001e-01  1.429279e-07  1.703211e-14  1.000000e-02
3.988010e-01  1.314329e-07  1.316000e-14  1.000000e-02
4.986019e-01  1.636169e-07  1.256102e-14  1.000000e-02
5.984028e-01  1.969363e-07  1.485009e-14  1.000000e-02
6.982037e-01  2.365995e-07  2.195271e-14  1.000000e-02
7.980046e-01  2.908213e-07  3.363092e-14  1.000000e-02
8.978054e-01  3.756353e-07  5.550933e-14  1.000000e-02
9.976063e-01  5.200105e-07  8.781827e-14  1.000000e-02
1.099902e+00  7.528459e-07  1.906272e-13  1.000000e-02
1.199703e+00  1.038002e-06  4.102983e-13  1.000000e-02
1.299504e+00  1.388071e-06  7.240138e-13  1.000000e-02
1.399305e+00  1.802009e-06  1.174113e-12  1.000000e-02
1.499106e+00  2.343151e-06  1.779644e-12  1.000000e-02
1.598907e+00  3.103137e-06  2.564870e-12  1.000000e-02
1.698708e+00  4.184046e-06  4.158523e-12  1.000000e-02
1.798508e+00  5.716285e-06  8.408999e-12  1.000000e-02
1.898309e+00  7.803493e-06  1.858276e-11  1.000000e-02
1.998110e+00  1.035296e-05  3.433885e-11  1.000000e-02
2.097911e+00  1.360191e-05  5.972243e-11  1.000000e-02
2.197712e+00  1.775058e-05  9.374128e-11  1.000000e-02
2.297512e+00  2.322309e-05  1.381518e-10  1.000000e-02
2.399808e+00  3.043160e-05  2.109711e-10  1.000000e-02
2.499609e+00  4.010975e-05  3.490461e-10  1.000000e-02
2.599409e+00  5.492312e-05  7.143296e-10  1.000000e-02
2.699209e+00  7.527830e-05  1.403512e-09  1.000000e-02
2.799009e+00  1.019819e-04  2.618777e-09  1.000000e-02
2.898808e+00  1.381604e-04  4.738887e-09  1.000000e-02
2.998607e+00  1.854967e-04  8.431215e-09  1.000000e-02
3.098405e+00  2.508841e-04  1.474270e-08  1.000000e-02
3.198202e+00  3.393371e-04  2.555208e-08  1.000000e-02
3.297997e+00  4.577422e-04  4.423868e-08  1.000000e-02
3.397790e+00  6.227897e-04  7.751548e-08  1.000000e-02
3.497579e+00  8.539411e-04  1.374192e-07  1.000000e-02
3.599858e+00  1.186356e-03  2.520467e-07  1.000001e-02
3.699635e+00  1.632402e-03  4.614601e-07  1.000001e-02
3.799402e+00  2.251935e-03  8.449560e-07  1.000003e-02
3.899154e+00  3.106248e-03  1.566401e-06  1.000005e-02
3.998884e+00  4.276853e-03  2.862086e-06  1.000009e-02
4.098583e+00  5.877081e-03  5.170303e-06  1.000018e-02
4.198237e+00  8.059276e-03  9.209467e-06  1.000033e-02
4.297826e+00  1.105015e-02  1.627131e-05  1.000062e-02
4.399808e+00  1.525707e-02  3.013098e-05  1.000116e-02
4.499167e+00  2.088446e-02  5.371850e-05  1.000214e-02
4.598328e+00  2.854638e-02  9.168700e-05  1.000392e-02
4.699681e+00  3.921515e-02  1.539965e-04  1.000725e-02
4.798161e+00  5.313035e-02  2.923659e-04  1.001302e-02
4.898565e+00  7.141488e-02  6.544218e-04  1.002333e-02
4.998267e+00  9.378662e-02  1.499349e-03  1.004117e-02
5.099442e+00  1.215211e-01  3.085292e-03  1.007183e-02
5.199545e+00  1.529116e-01  4.937404e-03  1.012057e-02
5.298584e+00  1.845709e-01  7.763661e-03  1.019517e-02
5.399075e+00  2.174669e-01  1.470141e-02  1.030860e-02
